Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
logout testsuite,Chrome 120.0.0.0,,,16-01-2024 17:14:34,16-01-2024 17:14:51,17.040s,PASSED
,,,,,,,
Test Cases/logout testcase/logout TC-01,Chrome 120.0.0.0,,,16-01-2024 17:14:34,16-01-2024 17:14:51,16.849s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,16-01-2024 17:14:35,16-01-2024 17:14:36,1.510s,PASSED
"navigateToUrl(""https://caring-connections-qa.azurewebsites.net/"")",Chrome 120.0.0.0,,,16-01-2024 17:14:36,16-01-2024 17:14:42,5.944s,PASSED
"setText(findTestObject(""Object Repository/logout testcase/Page_CaringConnections-v-1.17/input_username""), ""harshjo2344@gmail.com"")",Chrome 120.0.0.0,,,16-01-2024 17:14:42,16-01-2024 17:14:44,1.474s,PASSED
"setEncryptedText(findTestObject(""Object Repository/logout testcase/Page_CaringConnections-v-1.17/input_password""), ""QmrIyMB454Sq0s0w1zzgnQ=="")",Chrome 120.0.0.0,,,16-01-2024 17:14:44,16-01-2024 17:14:44,0.405s,PASSED
"click(findTestObject(""Object Repository/logout testcase/Page_CaringConnections-v-1.17/button_Sign In""))",Chrome 120.0.0.0,,,16-01-2024 17:14:44,16-01-2024 17:14:47,2.685s,PASSED
"verifyElementPresent(findTestObject(""logout testcase/Page_CaringConnections-v-1.17/img""), 0)",Chrome 120.0.0.0,,,16-01-2024 17:14:47,16-01-2024 17:14:50,3.430s,PASSED
"click(findTestObject(""Object Repository/logout testcase/Page_CaringConnections-v-1.17/img""))",Chrome 120.0.0.0,,,16-01-2024 17:14:50,16-01-2024 17:14:51,0.726s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,16-01-2024 17:14:51,16-01-2024 17:14:51,0.371s,PASSED
